"species";"status"
"Leucophaeus atricilla";"Visiteur"
"Leucophaeus pipixcan";"Visiteur"
"Larus crassirostris";"Visiteur (1)"
"Larus canus";"Visiteur (30)"
"Larus delawarensis";"Nicheur"
"Larus californicus";"Visiteur (8)"
"Larus argentatus";"Nicheur"
"Larus michahellis";"Visiteur (2)"
"Larus glaucoides";"Nicheur"
"Larus fuscus";"Migrateur"
"Larus schistisagus";"Visiteur (3)"
"Larus hyperboreus";"Nicheur"
"Larus marinus";"Nicheur"
"Onychoprion fuscatus";"Visiteur (1)"
"Gelochelidon nilotica";"Visiteur (2)"
"Hydroprogne caspia";"Nicheur"
"Chlidonias niger";"Nicheur"
"Chlidonias leucopterus";"Visiteur (5)"
"Sterna dougallii";"Nicheur"
"Sterna hirundo";"Nicheur"
"Sterna paradisaea";"Nicheur"
"Sterna forsteri";"Visiteur"
"Thalasseus maximus";"Visiteur (3)"
"Thalasseus sandvicensis";"Visiteur (3)"
"Rynchops niger";"Visiteur (2)"
"Gavia stellata";"Nicheur"
"Gavia pacifica";"Nicheur"
"Gavia immer";"Nicheur"
"Thalassarche chlororhynchos";"Visiteur (1)"
"Oceanites oceanicus";"Migrateur"
"Oceanodroma leucorhoa";"Nicheur"
"Fulmarus glacialis";"Migrateur"
"Calonectris diomedea";"Visiteur (1)"
"Ardenna grisea";"Migrateur"
"Ardenna gravis";"Migrateur"
"Puffinus puffinus";"Migrateur"
"Mycteria americana";"Visiteur (2)"
"Fregata magnificens";"Visiteur (3)"
"Sula leucogaster";"Visiteur (2)"
"Morus bassanus";"Nicheur"
"Phalacrocorax carbo";"Nicheur"
"Phalacrocorax auritus";"Nicheur"
"Phalacrocorax brasilianus";"Visiteur (1)"
"Pelecanus erythrorhynchos";"Visiteur"
"Pelecanus occidentalis";"Visiteur (7)"
"Botaurus lentiginosus";"Nicheur"
"Ixobrychus exilis";"Nicheur"
"Ardea herodias";"Nicheur"
"Ardea alba";"Nicheur"
"Egretta garzetta";"Visiteur (4)"
"Egretta thula";"Visiteur"
"Egretta caerulea";"Visiteur"
"Egretta tricolor";"Visiteur"
"Bubulcus ibis";"Visiteur"
"Butorides virescens";"Nicheur"
"Nycticorax nycticorax";"Nicheur"
"Nyctanassa violacea";"Visiteur (16)"
"Eudocimus albus";"Visiteur (2)"
"Plegadis falcinellus";"Visiteur"
"Plegadis chihi";"Visiteur (5)"
"Platalea ajaja";"Visiteur (1)"
"Coragyps atratus";"Visiteur"
"Cathartes aura";"Nicheur"
"Pandion haliaetus";"Nicheur"
"Elanoides forficatus";"Visiteur (6)"
"Aquila chrysaetos";"Nicheur"
"Circus hudsonius";"Nicheur"
"Accipiter striatus";"Nicheur"
"Accipiter cooperii";"Nicheur"
"Accipiter gentilis";"Nicheur"
"Haliaeetus leucocephalus";"Nicheur"
"Ictinia mississippiensis";"Visiteur (2)"
"Buteo lineatus";"Nicheur"
"Buteo platypterus";"Nicheur"
"Buteo swainsoni";"Visiteur"
"Buteo jamaicensis";"Nicheur"
"Buteo lagopus";"Nicheur"
"Tyto alba";"Visiteur"
"Megascops asio";"Nicheur"
"Bubo virginianus";"Nicheur"
"Bubo scandiacus";"Nicheur"
"Surnia ulula";"Nicheur"
"Athene cunicularia";"Visiteur (5)"
"Strix varia";"Nicheur"
"Strix nebulosa";"Nicheur"
"Asio otus";"Nicheur"
"Asio flammeus";"Nicheur"
"Aegolius funereus";"Nicheur"
"Aegolius acadicus";"Nicheur"
"Megaceryle alcyon";"Nicheur"
"Melanerpes erythrocephalus";"Nicheur"
"Melanerpes carolinus";"Nicheur"
"Sphyrapicus varius";"Nicheur"
"Picoides dorsalis";"Nicheur"
"Picoides arcticus";"Nicheur"
"Picoides pubescens";"Nicheur"
"Picoides villosus";"Nicheur"
"Colaptes auratus";"Nicheur"
"Dryocopus pileatus";"Nicheur"
"Caracara cheriway";"Visiteur (3)"
"Falco sparverius";"Nicheur"
"Falco columbarius";"Nicheur"
"Falco rusticolus";"Nicheur"
"Falco peregrinus";"Nicheur"
"Myiarchus cinerascens";"Visiteur (2)"
"Myiarchus crinitus";"Nicheur"
"Tyrannus melancholicus";"Visiteur (6)"
"Tyrannus verticalis";"Visiteur"
"Tyrannus tyrannus";"Nicheur"
"Tyrannus dominicensis";"Visiteur (3)"
"Tyrannus forficatus";"Visiteur (29)"
"Tyrannus savana";"Visiteur (21)"
"Contopus cooperi";"Nicheur"
"Contopus sordidulus";"Visiteur (1)"
"Contopus virens";"Nicheur"
"Empidonax flaviventris";"Nicheur"
"Empidonax virescens";"Visiteur (12)"
"Empidonax alnorum";"Nicheur"
"Empidonax traillii";"Nicheur"
"Empidonax minimus";"Nicheur"
"Sayornis phoebe";"Nicheur"
"Sayornis saya";"Visiteur"
"Pyrocephalus rubinus";"Visiteur (2)"
"Lanius ludovicianus";"Nicheur"
"Lanius borealis";"Nicheur"
"Vireo atricapilla";"Visiteur (1)"
"Vireo griseus";"Visiteur"
"Vireo flavifrons";"Nicheur"
"Vireo solitarius";"Nicheur"
